rider_id,week_id,home_zone_id,delivery_platform,tier,avg_delivery_radius_km,primary_shift,avg_daily_active_hours,loyalty_weeks_active,avg_weekly_earnings_4wk,earnings_volatility_index,claim_history_score,zone_elevation_index,waterlogging_incidents_3yr,road_quality_score,zone_heat_island_index,rain_mm_7day_forecast,max_temp_forecast,wind_gust_kmh_forecast,aqi_forecast_avg,imd_alert_level_forecast,bandh_probability_score,platform_outage_7d_count,festival_calendar_flag,political_event_flag,w_risk,disruption_label,r_alert,loyalty_discount,premium_charged
R00000,102,t_nagar,swiggy,starter,5.14,evening,8.2,44,6213.0,0.3301,0.0019,4.67,6,5.13,2.18,63.3,26.7,14.7,399.0,1,0.4164,1,0,0,0.8978,0,0.75,0.7,18.38
R00001,13,adyar,zomato,standard,5.93,morning,8.0,40,7981.0,0.0378,0.2651,2.97,8,5.76,1.94,14.2,33.8,16.0,50.0,0,0.282,0,0,0,0.7895,0,1.0,0.7,38.13
R00002,40,velachery,zepto,standard,5.78,morning,6.3,36,5943.0,0.0483,0.3525,1.99,13,3.89,2.62,52.8,29.8,45.9,206.0,2,0.1482,1,1,0,0.8321,1,0.5,0.7,20.09
R00003,62,guindy,blinkit,starter,3.42,afternoon,9.5,0,5045.0,0.1585,0.194,6.47,2,7.04,1.1,8.6,29.6,14.6,103.0,0,0.3344,0,0,0,0.7826,0,1.0,1.0,30.52
R00004,136,tambaram,zomato,standard,5.86,morning,6.3,24,5020.0,0.1315,0.1125,3.67,8,5.37,1.7,124.2,34.1,13.2,145.0,2,0.1729,0,0,0,0.8755,0,0.5,0.7,21.14
R00005,68,t_nagar,swiggy,shield,10.41,afternoon,9.7,0,3709.0,0.2287,0.061,5.05,5,5.23,2.64,7.0,35.6,9.1,97.0,0,0.1097,0,0,1,0.7931,0,1.0,1.0,78.51
R00006,36,guindy,zepto,shield,6.13,night,9.3,20,8485.0,0.3676,0.1832,5.63,4,6.47,1.44,54.4,33.7,46.2,106.0,2,0.2173,1,0,0,0.8458,0,0.5,0.75,31.4
R00007,50,perambur,zomato,starter,7.19,evening,5.9,44,7368.0,0.1897,0.069,2.96,8,4.35,2.85,48.3,26.0,38.6,228.0,1,0.3288,1,0,0,0.8676,0,0.75,0.7,17.77
R00008,129,sholinganallur,swiggy,standard,5.53,afternoon,8.4,0,4370.0,0.4014,0.2012,5.05,3,7.18,1.76,89.0,34.2,29.7,59.0,2,0.0542,1,0,0,0.8213,0,0.5,1.0,28.34
R00009,59,tambaram,zepto,shield,5.27,evening,10.1,8,5369.0,0.1594,0.1486,4.36,7,4.94,2.23,4.1,26.7,38.8,212.0,1,0.3097,1,0,0,0.8206,0,0.75,0.9,54.83
R00010,85,chromepet,swiggy,standard,6.49,evening,5.5,12,9278.0,0.3208,0.0369,4.5,5,5.91,1.97,84.2,31.6,37.2,104.0,2,0.1465,1,0,0,0.8397,0,0.5,0.85,24.62
R00011,100,anna_nagar,swiggy,standard,5.75,evening,6.8,24,5860.0,0.3677,0.0718,7.15,3,8.42,1.06,69.4,27.2,61.3,174.0,2,0.1815,0,0,0,0.8506,0,0.5,0.7,20.55
R00012,61,t_nagar,zomato,starter,6.46,night,6.8,48,6675.0,0.5915,0.0695,4.87,4,5.27,2.14,10.4,31.0,11.2,124.0,0,0.1393,0,0,0,0.7904,0,1.0,0.7,21.58
R00013,75,chromepet,swiggy,standard,9.37,night,8.1,8,4383.0,0.3986,0.1192,4.18,5,6.54,1.55,15.7,35.3,11.4,96.0,0,0.1399,1,0,1,0.8045,0,1.0,0.9,49.96
R00014,126,chromepet,blinkit,standard,4.31,afternoon,8.9,48,6903.0,0.2259,0.1581,3.87,7,6.21,1.91,84.2,37.7,39.5,148.0,2,0.1045,1,0,1,0.8514,0,0.5,0.7,20.56
R00015,100,chromepet,zepto,standard,4.72,morning,5.4,44,9797.0,0.2782,0.2322,3.9,7,5.34,1.22,78.2,27.6,10.1,153.0,2,0.1899,2,0,0,0.8386,0,0.5,0.7,20.25
R00016,109,velachery,zepto,standard,1.0,morning,7.5,36,8187.0,0.2255,0.3692,2.01,15,3.65,2.37,6.2,28.4,17.0,343.0,0,0.2644,2,0,0,0.8252,0,1.0,0.7,39.86
R00017,29,guindy,zomato,shield,6.89,evening,10.2,8,3906.0,0.4284,0.0938,6.57,2,7.09,1.16,48.5,31.4,25.7,50.0,1,0.0787,0,0,0,0.8012,0,0.75,0.9,53.54
R00018,120,perambur,zomato,starter,7.36,night,6.4,52,7939.0,0.2565,0.2732,2.32,10,3.51,2.31,12.1,31.7,7.9,101.0,0,0.0805,1,0,1,0.7889,0,1.0,0.7,21.54
R00019,24,velachery,swiggy,standard,9.96,evening,7.1,4,9348.0,0.2538,0.0224,1.9,14,3.16,2.5,30.8,35.0,16.9,49.0,0,0.0692,0,0,0,0.8259,0,1.0,0.95,54.14
R00020,3,perambur,zomato,standard,7.42,afternoon,6.7,8,7527.0,0.6961,0.0169,3.0,9,4.18,2.41,15.2,23.8,17.5,170.0,0,0.2132,2,1,0,0.7742,0,1.0,0.9,48.08
R00021,162,velachery,blinkit,starter,5.98,morning,11.2,36,7108.0,0.2287,0.2198,1.83,13,4.15,2.38,5.8,30.4,13.4,80.0,0,0.3067,2,0,0,0.8104,0,1.0,0.7,22.12
R00022,193,tambaram,zepto,standard,2.47,morning,8.0,28,8398.0,0.2926,0.2729,4.07,8,5.31,1.43,56.9,30.1,19.8,37.0,1,0.0938,2,0,0,0.8146,0,0.75,0.7,29.51
